Thiết bị,Khoa phòng,Đề xuất/ Số hợp đồng
01 Buồng đo thính lực,Khám bệnh-Tai Mũi Họng,10724HĐKTDWHCM-TA
01 Bàn khám phụ khoa Examline 740,Khám bệnh-IVF,24090286
"01 Bình nhôm, 02 nắp, 01 vòi xịt, 02 đĩa định hướng, 01 thiết bị phun nito lỏng",Khám bệnh-Da liễu,
"01 Bình oxy, 01 xe đẩy,01 regu oxy gắn bình",CĐHA,
01 Băng ca cứu thương,CĐHA,
01 Bơm tiêm điện dùng cho hệ thống chụp cắt lớp vi tính cao cấp,CĐHA,1462023HĐMBTAHCM-VT
01 Bơm tiêm điện phòng MRI 1.5 Trệt,CĐHA,HĐ-24-03158
"01 Bơm tiêm điện, 01 bơm truyền dịch",Cấp cứu-Cấp cứu sản,
01 Bể ổn nhiệt nắp thấp,Xét nghiệm,
01 Bộ cánh tay và xe đẩy điện tim 6 cần,Cấp cứu,
01 Bộ lưu điện Riello 6FM100E-X,CĐHA,100524TA-TH
01 Bộ lưu điện UPS cho MRI,CĐHA,100524.TA-TH
01 Bộ test rò rỉ ống soi, KSNK,AnhKhoa
01 Bộ đèn đặt NKQ,Cấp cứu,
01 Cáng cứu thương,Cấp cứu,831C24TPV
01 Cân sơ sinh kèm thước đo chiều cao MS3500-HM80M,Khám bệnh,24100282
01 Dao mổ điện cao tần,Cấp cứu,08.2024.HDMB.CMC-TA
"01 Dây chuôi kim điện cơ, 01 dây điện cực",Khám bệnh,24080104
01 Dụng cụ chuyển bệnh ECOLITE,CĐHA,150.MĐ-BVTA.2024
01 Hệ thống bơm tiêm thuốc đối quang từ,CĐHA,1462023HĐMBTAHCM-VT
01 Hệ thống bơm tiêm điện Salient 02 nòng,CDHA,HD-2402639
01 Hệ thống kích thích từ trường xuyên sọ,Khám bệnh-Nội thần kinh,29.052024TA-PV
01 Kính lúp đội đầu,Cấp cứu,24110145
01 Monitor B125,Cấp cứu-Cấp cứu sản,
01 Monitor B125,Cấp cứu-Thủ thuật,
"01 Monitor di động 6 thông số, 01 xe đẩy",Cấp cứu,PO.DM.1804TL-TA2024
01 Monitor sản,Cấp cứu,11.2024.TC-BVTAHCM
01 MÁY SIÊU ÂM TIM 4D,Khám bệnh-Tim mạch,07HĐMBTDMED-TAHCM2024
"01 Máy FanHP test C13, 01 UPS",NSTH,
01 Máy chẩn đoán xơ vữa mạch máy VP-1000 plus, TTBP-NT,22.05.PV
"01 Máy holter điện tim Pro, 01 holter điện tim mini ", Định Giang,
01 Máy khoan xương nha khoa,Khám bệnh-RHM,56-NKHĐMB2024
"01 Máy khí dung, 01 regu Oxy gắn bình, 01 bình hút dịch",Cấp cứu,24070121
01 Máy làm ấm bệnh nhân,NSTH,24080366
01 Máy phá rung tim TEC-5631,Cấp cứu,24090190
01 Máy siêu âm Voluson Arietta 65,CĐHA,
01 Máy siêu âm Voluson Arietta 65,CĐHA, (2)
01 Máy siêu âm Voluson P8,CĐHA,05062023HĐMBTAHCM-VT
01 Máy siêu âm Voluson S8t,CĐHA,03HĐMBTD-TAHCM2024
01 Máy siêu âm Voluson S8t,CĐHA,03HĐMBTD-TAHCM2024 (2)
